3,57,5,1,2
3,54,10,0,2
3,300,5,1,3
3,79,1,1,2
1,122,5,1,1
1,52,2,1,1
3,11,20,0,1
3,297,29,1,3
1,265,24,0,2
1,117,27,1,3
3,151,7,0,2
3,17,20,0,1
2,245,29,1,3
3,20,11,0,1
2,96,19,1,2
2,46,24,0,1
1,12,17,1,3
3,282,18,0,3
2,267,12,0,2
2,69,18,0,1
1,4,12,1,1
3,47,17,1,2
3,251,24,0,3
3,242,11,0,3
1,2,2,0,1
1,215,8,0,2
2,98,28,1,3
2,97,21,0,1
1,62,11,0,1
1,81,10,0,1
1,250,5,0,2
3,29,4,0,2
1,156,23,1,3
2,8,1,1,3
1,88,12,0,1
3,84,9,0,1
3,2,6,0,1
3,92,1,0,1
1,5,30,0,1
3,35,3,0,1
2,248,21,1,3
1,94,20,1,1
1,75,5,1,1
1,180,1,1,1
1,96,6,1,1
2,85,7,1,3
3,9,3,0,1
3,95,1,1,2
2,50,20,1,3
1,68,7,1,1
2,49,24,0,2
3,54,28,1,2
1,56,9,0,2
2,232,30,1,3
3,248,6,0,2
1,4,8,0,1
1,101,10,1,1
3,80,27,0,1
1,29,1,0,1
2,74,22,1,2
1,26,11,1,1
1,98,7,1,1
1,107,19,0,2
1,28,7,1,1
1,169,8,1,1
1,46,2,0,2
2,77,22,0,1
1,196,4,0,2
3,72,9,0,2
1,73,10,1,1
2,52,11,0,1
1,93,2,0,2
2,237,10,0,2
2,274,8,0,2
3,30,1,1,3
3,11,14,1,3
1,77,7,1,1
1,246,14,1,3
1,23,1,0,1
1,62,22,1,1
3,44,9,1,3
1,173,26,0,2
1,71,20,0,1
1,188,16,0,2
2,6,9,1,2
1,42,12,1,3
2,52,5,0,1
1,80,30,0,1
2,247,19,0,2
2,21,22,0,1
3,96,5,1,2
1,90,16,1,3
1,106,4,1,1
3,66,3,1,3
3,81,18,1,2
1,109,7,0,2
1,54,9,0,2
2,39,23,0,1
2,82,26,1,2
3,129,30,1,3
2,44,8,1,3
3,95,19,0,1
3,118,15,1,3
2,245,22,1,3
3,114,26,0,3
2,80,10,1,2
2,2,3,0,1
1,95,8,0,2
2,98,1,1,2
1,3,30,0,1
2,53,11,0,2
2,15,1,0,2
2,28,8,1,3
1,59,29,0,1
3,32,6,0,2
3,259,8,1,3
2,42,7,0,1
2,37,29,1,2
2,8,25,1,3
1,237,9,0,2
2,32,1,0,1
2,171,7,0,2
2,144,20,0,2
3,221,22,0,3
1,30,19,0,1
1,107,24,0,2
1,78,5,1,1
1,17,10,1,1
2,63,15,1,3
2,178,22,0,2
3,49,2,1,3
2,2,1,0,1
2,105,18,1,3
3,117,28,0,3
1,273,2,0,2
3,71,7,1,2
3,22,9,0,1
1,38,13,1,1
1,21,30,1,1
2,89,22,0,2
1,4,18,0,2
1,178,28,1,3
3,68,25,1,2
3,21,22,0,1
1,47,24,1,3
3,65,19,1,3
1,78,8,1,1
2,192,15,1,3
2,202,4,0,2
2,45,1,1,2
2,46,9,0,1
3,127,1,1,3
2,72,27,1,3
1,43,4,0,2
2,38,11,1,2
1,47,20,0,1
1,131,10,1,1
2,5,24,0,1
1,6,7,0,1

1,72,15,1,1
2,9,19,0,1
3,43,14,1,3
3,163,6,0,2
1,23,10,0,1
1,94,5,0,1
1,84,1,0,1
3,121,13,1,3
3,77,21,0,3
3,43,10,0,1
3,61,30,1,2
3,26,20,1,2
2,145,18,1,3
1,50,10,1,1
2,266,18,1,3
3,297,6,1,3
2,298,21,0,2
1,79,3,0,1
1,50,14,0,2
2,33,10,1,3
1,207,28,0,2
3,182,11,0,3
1,49,6,1,1
2,117,15,1,3
2,261,6,0,2
3,76,15,1,3
3,14,6,1,2
1,191,1,1,1
1,61,29,1,1
1,94,29,1,1
1,98,9,0,2
1,177,8,0,2
2,6,2,1,2
3,211,24,0,3
2,72,3,0,1
1,67,1,1,1
2,288,16,1,3
2,266,24,1,3
3,106,14,1,3
2,47,30,1,3
1,8,9,1,1
1,74,12,1,1
2,74,10,1,2
1,36,8,1,1
1,209,30,1,3
2,139,6,1,3
2,53,9,1,2
3,90,27,1,2
2,73,22,0,1
2,21,14,1,2
3,292,8,1,3
2,45,26,0,1
2,8,19,1,2
1,28,3,0,1
2,42,7,0,1
1,90,6,0,1
1,52,6,1,1
1,68,10,0,1
3,24,5,0,1
3,148,9,1,3
2,10,17,0,2
2,90,22,1,3
1,66,1,0,1
3,2,27,1,2
1,157,28,0,2
2,190,5,0,2
1,10,16,0,1
1,250,6,1,1
1,54,5,0,1
3,23,8,0,2
2,58,2,1,3
2,95,14,0,1
2,13,5,1,2
2,218,13,1,3
1,123,11,1,3
1,245,3,0,2
3,148,8,1,3
3,69,5,1,2
1,249,4,0,2
3,67,6,0,1
3,94,25,0,1
1,46,15,1,1
1,142,8,0,2
2,19,4,0,2
1,78,15,0,1
1,235,3,1,1
2,53,29,1,2
1,120,4,1,1
2,14,9,1,3
3,215,3,0,2
3,98,5,1,2
3,1,15,0,1
2,227,6,0,2
3,23,16,0,1
1,9,16,1,1
1,50,10,0,1
3,245,8,0,2
1,53,7,0,1
1,72,16,0,1
1,77,3,1,1
1,210,6,0,2
1,11,6,0,1
2,78,18,0,1
1,100,15,1,3
2,278,25,1,3
1,76,4,1,1
1,151,9,0,2
1,252,11,1,3
3,74,1,1,3
1,1,7,0,1
2,90,1,0,1
1,6,13,1,1
1,79,24,1,3
1,187,29,1,3
3,175,2,0,2
1,263,2,1,1
1,120,14,1,3
1,96,5,1,1
3,110,13,0,3
3,34,5,1,2
2,75,5,0,1
2,60,10,0,2
1,31,14,1,3
3,100,8,0,2
